词,背景弹幕评论词数,R,背景词数乘R,wiki词数,wiki权重,词库估计词数,R口径,R分子_全tag总量,R分母_样本总量
推理,35,1.1036720331575072,38.628521160512754,394,1.0,432.6285211605128,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
先生,8,1.1036720331575072,8.829376265260057,410,1.0,418.82937626526007,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
通常,0,1.1036720331575072,0.0,416,1.0,416.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
案件,46,1.1036720331575072,50.76891352524533,359,1.0,409.76891352524535,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
平次,11,1.1036720331575072,12.140392364732579,391,1.0,403.1403923647326,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
警视厅,0,1.1036720331575072,0.0,402,1.0,402.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
小学,3,1.1036720331575072,3.3110160994725213,385,1.0,388.3110160994725,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
犯人,19,1.1036720331575072,20.969768629992636,361,1.0,381.96976862999264,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
画面,7,1.1036720331575072,7.72570423210255,373,1.0,380.72570423210254,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
降谷,5,1.1036720331575072,5.518360165787536,368,1.0,373.51836016578756,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
形式,0,1.1036720331575072,0.0,367,1.0,367.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
小兰,38,1.1036720331575072,41.93953725998527,320,1.0,361.9395372599853,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
佐藤,8,1.1036720331575072,8.829376265260057,344,1.0,352.82937626526007,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
发现,27,1.1036720331575072,29.799144895252695,310,1.0,339.7991448952527,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
工藤新,89,1.1036720331575072,98.22681095101814,241,1.0,339.22681095101814,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
