视频标题,BVID,用户名,评论内容
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,神王之寂,来了来了[打call]出来玩被朋友提了一句前女友，就直接又梦到了[笑哭]可是幻觉醒来的时候终会有遗憾，一切的一切都只能不去想，强迫随时间的流失推动着自己向前走，在未来连见面都不会有的时光，慢慢治愈也会不错吧。
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,是沉鱼鸭,@露易丝大小姐
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,Rain゙゙゙,"那找的图,或是up自创的?"
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,念曜不念旧,[星星眼][打call]豪庭豪庭[喜欢]
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,往日之曦,五一快乐
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,夜禧_,别忘了网易云上也要发o[doge]
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,不想哀伤,感谢主播[打call][打call][打call]
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,-许宁安-,豪庭！依旧求图[打call]
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,灰原哀之声,[打call]
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,一只饭菌,[打call]
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,我就要变坏,[打call][爱心]
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,熊熊勿忘,[蹲蹲]
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,花巧巧墨,明早吃啥啊
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,最爱吃蓝莓果酱三明治,好听
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,小韩爱吃芒果新号,前排[吃瓜]
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,Narvik小红帽,好听好听！[打call]
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,僵屍小姐姐,我喜欢听的歌~[星星眼]
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,月辉战士,[打call][打call]
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,彼得胖克233,好耶[打call]ヽ(✿ﾟ▽ﾟ)ノ
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,豆包小熊猫,花花画得真好，我翻相册发现我之前也有画过…[笑哭]
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,夏日冰摇茶,已经很拿得出手了啊啊啊老师
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,兔兔兔美少女,长大的你 可以再画一张同样的 还给小时候的自己[脱单doge] 顺便让我们看看花儿的水平有没有随着年纪直线飞升！
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,漼樱,我也画过，都是铅笔画的
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,TwoHandRevy,哇，这可多少得有点天赋了
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,obsivia,画的好棒啊！
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,凉拌折耳根不加冰,真好啊！！！已经很好啦！[喜欢]我也看那个杂志呜呜呜好怀念
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,Eros南山影,我也找到一些，真怀念[桃源_欢呼]
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,雪叶寒江,这叫没有画画天赋？
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,小小侦探先生柯南,纯手搓[doge]
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,乌海海海啊,哈哈，超爱柯南
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,蓝铃花酿成的果,刚看到封面以为是原画[笑哭]老师还是太有实力了[星星眼]
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,渊花芙水de粥粥,画得很好呀！
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,余心怀沙,你的记性也太好了
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,这里的狮体硬邦邦,啊啊啊我还以为封面是新的黑白谷，画得好棒！
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,没错我叫程艾影,哇啊啊啊啊看的出老师真的很喜欢[打call]而且画得蛮好看的啊[星星眼]
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,丫丫子0917,啊啊啊啊我也画过，而且也邮寄画作了，好像被电视节目选上了，但是！我没有看到那期节目，还是我同学告诉我的[大哭]
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,大哥这不能再重了吧,画的真好，我小时候也画过，比起你的，我算是完全没有天赋的了
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,Prelude_21,我小时候也很喜欢画画来着，当时好像是08年奥运会，学校要办画展每班征集绘画作品，我画了火炬传递，结果被班主任锐评“我不知道那是火炬我以为是斧子”然后彻底浇灭了我的绘画热情[大哭]
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,Ycxlx,画得好棒[星星眼]
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,我姓熊i,画的很好[打call]尤其是小哀好美[喜欢]
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,苹果20190609,我滴[给心心]
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,鹌鹑爱美剧,如果想保留可以去大的打印店加个封皮做成一本书[点赞]
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,楠猫希巷,哎呦[星星眼]看起来真的是很古早的图了
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,sggdhddhgdg,[吃瓜][吃瓜][吃瓜]
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,模玩小天使,[笑哭]以前邮件丢件真是常态了
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,2026新年万事如意,你应该寄复印件，平邮确实会丢件，我之前寄给同省同学的明信片都丢件了[笑哭]
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,奇迹画戟,第一来咯[星星眼]
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,黄桃罐头能治病,好厉害。。。人生那么长说不定哪天又把这爱好捡起来
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,买番茄吗,花儿老师柯南出的新谷考虑什么时候买呀？[doge]（想看花儿老师拆）[吃瓜]
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,赛博德古拉,老师好牛！
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,童童讨厌吃鱼,小时候画的很棒了啊 我小时候只会画呆头
时常感谢那个喜欢留小时候破烂儿的自己,BV1QoR7BzEKz,热血沸腾哈,up有柯南的百卷挂件吗
我又改画了😋,BV1r7RTBxEja,鹰眼儿大帝,逃到这里应该没有反名柯魔怔人了吧？最好没有
我又改画了😋,BV1r7RTBxEja,-chuyi-,我似乎比互联网多一段记忆
我又改画了😋,BV1r7RTBxEja,雑音カコ-愛音カコ,主播能不能抽到我的评论呀？你对柜子学院联动（现在取消了）是什么看法？我觉得可以退坑也可以不退坑
我又改画了😋,BV1r7RTBxEja,我是茗夏团小怡吖,希望作者长这样
我又改画了😋,BV1r7RTBxEja,罗罗爱吃甜甜的,你终于更新了！[喜欢]小兰改的好看[打call]
我又改画了😋,BV1r7RTBxEja,偏若风凝,[打call]
我又改画了😋,BV1r7RTBxEja,范井-若琪,《失踪人口回归》 到底是人性的扭曲，还是扭曲的人性。琴是GIN黑泽广播台来报告，接下来收听《云一堂失踪事件》
我又改画了😋,BV1r7RTBxEja,酷拉皮卡何时能下船,有那味了
我又改画了😋,BV1r7RTBxEja,爱磕新兰的阿雅,不知道发啥，但想上电视[呲牙]
我又改画了😋,BV1r7RTBxEja,final香菜,柯南不是和柜子联动了嘛
我又改画了😋,BV1r7RTBxEja,我是茗夏团小怡吖,改一下[doge]
我又改画了😋,BV1r7RTBxEja,洛云清-兰芝,老师改的依旧权威[打call]
我又改画了😋,BV1r7RTBxEja,我是茗夏团小怡吖,小兰[打call]
我又改画了😋,BV1r7RTBxEja,我叫工藤新一探偵だ,明天改张新一[星星眼]
我又改画了😋,BV1r7RTBxEja,彩色蛋糕猫,美美美[打call]
我又改画了😋,BV1r7RTBxEja,秋月無,对对对，就这么改[猫猫_送花]
我又改画了😋,BV1r7RTBxEja,絆奈克瑟斯,怎么这么久没更新了？[doge]
我又改画了😋,BV1r7RTBxEja,张樱雪ig,做得好[支持][支持][支持]
我又改画了😋,BV1r7RTBxEja,我是茗夏团小怡吖,宝宝一千粉丝快来 天天开心 么么哒
我又改画了😋,BV1r7RTBxEja,丽妤瑾,你不用管评论区的那些人哈
我又改画了😋,BV1r7RTBxEja,肉沫邓子,妙手回春啊！
我又改画了😋,BV1r7RTBxEja,辣笔小新521,萌鼠了[喜欢]
我又改画了😋,BV1r7RTBxEja,丽妤瑾,小兰[打call]
我又改画了😋,BV1r7RTBxEja,我叫工藤新一探偵だ,新一，生日快乐🎂
我又改画了😋,BV1r7RTBxEja,某姚葶,这下条视频我想看小说
我又改画了😋,BV1r7RTBxEja,我是茗夏团小怡吖,火了！
我又改画了😋,BV1r7RTBxEja,中考完了就改名,老师牛鼻依旧
我又改画了😋,BV1r7RTBxEja,我是茗夏团小怡吖,@永远爱珊瑚酱和大家 关注她一下，她马上1000粉了
我又改画了😋,BV1r7RTBxEja,Dragonfly570,好看[星星眼][星星眼][星星眼]
我又改画了😋,BV1r7RTBxEja,日记me,我是第100条评论😍
我又改画了😋,BV1r7RTBxEja,吴岛字贵虎,我还是喜欢中期剧场版那个画风的兰。
我又改画了😋,BV1r7RTBxEja,名画鉴定师bo良ki影,妙手回春啊
我又改画了😋,BV1r7RTBxEja,在逃の蟹黄堡秘方,豪看[鼓掌]
我又改画了😋,BV1r7RTBxEja,就是爱磕快青那咋了,哇，萌萌哒[喜欢]
我又改画了😋,BV1r7RTBxEja,我是萧一白的狗,好看的[点赞]
我又改画了😋,BV1r7RTBxEja,人為什麽不能活在過去,不到十分钟随便瞎画的咋样[doge]
我又改画了😋,BV1r7RTBxEja,哑铃一二,900粉快乐
我又改画了😋,BV1r7RTBxEja,我是茗夏团小怡吖,当你认认真真的喜欢过一个人最后你们却没有在一起的时候 你会发现自己很难再爱上其他人了 也不想再花时间和力气去了解其他人了 那种滋味就像你认认真真写了一篇文章 老师看了一眼过后 说你字迹潦草给你撕掉了 让你重新规规整整的书写 虽然你还记得作文的开头和经过但是你也懒得再去写了 因为那篇文章花光了你所有的精力 明明只差一个结局 却要你回头重来一次 有些人光是遇见就花光了所有的运气了 只是可惜我没有了从头再来的勇气了 永远深陷在回忆和失落的泥潭之中 自我挣扎 无法自拔[doge]
我又改画了😋,BV1r7RTBxEja,太监貓,三连了
我又改画了😋,BV1r7RTBxEja,可爱的小瑶-,下期能改这个吗就改一下那个怪盗记的，不踩人家脚[笑哭]
我又改画了😋,BV1r7RTBxEja,雪碧不是沙币,为什么新创华官方那边都没刷新你这里倒是刷了几个
我又改画了😋,BV1r7RTBxEja,浚画君,青野回归了[星星眼][星星眼][星星眼][星星眼][星星眼][星星眼]
我又改画了😋,BV1r7RTBxEja,肉沫邓子,妙手回春啊！
我又改画了😋,BV1r7RTBxEja,废品鼠械师,这不是柜子吗？[喜极而泣]
我又改画了😋,BV1r7RTBxEja,浔歆ran_薇风,老师还这张可以吗 早期画风 挺好的 就是脸有点长比例怪 看起来有点傻
根据发型猜动漫人物,BV1LX9fB8EU9,丶御翔,哪个番没人看，一看便知……不是猜不出来！谁看过那玩应啊！[doge]
根据发型猜动漫人物,BV1LX9fB8EU9,来桶可乐鸡翅,老了，新的都不认识了[笑哭]
根据发型猜动漫人物,BV1LX9fB8EU9,05年,只认对了哀酱
