标签名,标签ID,BV号,标题,发布时间戳,发布时间_ISO8601_北京时间,播放量,评论数_reply,弹幕数,时长秒,UP主MID,UP主昵称,页码_抓取时
朱蒂老师,3009465,BV1Fdt1zDEXS,朱蒂老师好适合复古风哦,1754632702,2025-08-08 13:58:22,134,0,0,12,2139079172,ValerieYeoh,2
朱蒂老师,3009465,BV1QmtkztEtx,朱蒂老师和目暮警官的渊源,1754614834,2025-08-08 09:00:34,1290,2,0,48,2139079172,ValerieYeoh,2
朱蒂老师,3009465,BV1NutizcEdD,【模拟人生】捏了朱蒂老师（复古版）,1754534082,2025-08-07 10:34:42,370,0,0,15,2139079172,ValerieYeoh,2
朱蒂老师,3009465,BV1Vi4RzhEKe,拼死守护，只因为小鬼头喜欢你，朱蒂老师自带搞笑技能x到底是什么？,1754410794,2025-08-06 00:19:54,153692,3,1,393,335228404,童年影视剧,2
朱蒂老师,3009465,BV17MtjzFEYm,来自朱蒂33的游戏讲解~,1754355641,2025-08-05 09:00:41,273,1,0,100,2139079172,ValerieYeoh,3
朱蒂老师,3009465,BV14chuzaERo,朱蒂33：你简直就是小说里走出来的名侦探耶,1754182817,2025-08-03 09:00:17,316,5,0,43,2139079172,ValerieYeoh,3
朱蒂老师,3009465,BV1MKhsz5ECt,朱蒂老师的酷酷初登场,1754096432,2025-08-02 09:00:32,415,2,0,103,2139079172,ValerieYeoh,3
朱蒂老师,3009465,BV1ns8rzGESB,朱蒂老师的萌萌小课堂①,1753923767,2025-07-31 09:02:47,573,1,0,60,2139079172,ValerieYeoh,3
朱蒂老师,3009465,BV1LA8ozkEuD,朱蒂老师的萌萌瞬间第⑩弹,1753837646,2025-07-30 09:07:26,1351,3,0,68,2139079172,ValerieYeoh,3
朱蒂老师,3009465,BV1G48gz6EAZ,朱蒂老师的萌萌瞬间第⑨弹,1753668198,2025-07-28 10:03:18,2847,5,0,71,2139079172,ValerieYeoh,3
朱蒂老师,3009465,BV1DN88zxEGj,朱蒂老师的萌萌瞬间第八弹,1753581620,2025-07-27 10:00:20,399,1,0,58,2139079172,ValerieYeoh,3
朱蒂老师,3009465,BV1B1bCzkEmG,朱蒂老师的萌萌瞬间第七弹,1753408812,2025-07-25 10:00:12,2429,2,0,76,2139079172,ValerieYeoh,3
朱蒂老师,3009465,BV1eU8wzpExG,朱蒂老师的萌萌瞬间第六弹,1753322671,2025-07-24 10:04:31,347,0,0,59,2139079172,ValerieYeoh,3
朱蒂老师,3009465,BV1Y5gxzNEJ4,朱蒂老师的萌萌瞬间第五弹,1753236654,2025-07-23 10:10:54,246,0,0,52,2139079172,ValerieYeoh,3
朱蒂老师,3009465,BV11ugLzZE2h,朱蒂老师的萌萌瞬间第四弹,1753149737,2025-07-22 10:02:17,196,0,0,97,2139079172,ValerieYeoh,3
朱蒂老师,3009465,BV1yfuozrEFY,朱蒂老师的萌萌瞬间第三弹,1753063765,2025-07-21 10:09:25,226,3,0,99,2139079172,ValerieYeoh,3
朱蒂老师,3009465,BV1EruQzUEeX,朱蒂老师的萌萌瞬间第二弹,1752891245,2025-07-19 10:14:05,351,0,0,43,2139079172,ValerieYeoh,3
朱蒂老师,3009465,BV15JguzoETm,朱蒂老师的萌萌瞬间第一弹,1752805536,2025-07-18 10:25:36,217,0,0,69,2139079172,ValerieYeoh,3
朱蒂老师,3009465,BV1H5uTzbEJL,朱蒂.斯达琳_配音对比,1752196158,2025-07-11 09:09:18,1893,19,0,269,699859651,埋酱的事务所,3
朱蒂老师,3009465,BV16W35zpEs6,冷白皮版赤井秀一，帅炸了,1751588349,2025-07-04 08:19:09,3485,2,0,76,388733839,dingdongdeng,3
朱蒂老师,3009465,BV1bKPLefERo,她俩早期的神秘感一直是可以的。。。,1740570691,2025-02-26 19:51:31,95,0,0,82,3546800782838125,我是小小肖恩,3
朱蒂老师,3009465,BV1qswkeCEip,"超A朱蒂老师——“You're not a mere boy,aren't you?”",1737302064,2025-01-19 23:54:24,11,0,0,21,3493286276761679,冕下是白月光啊,3
朱蒂老师,3009465,BV1c3bXeEEo6,美丽的女士们,1721053835,2024-07-15 22:30:35,17,0,0,15,3493298408786581,宫野凇,3
朱蒂老师,3009465,BV13M4m127h8,【名侦探柯南reaction】〖364〗四台保时捷！（下集）,1720706565,2024-07-11 22:02:45,3037,24,1,1356,101703686,香香兔纸,3
朱蒂老师,3009465,BV1oz421q7yF,【名侦探柯南reaction】〖363〗四台保时捷！（上集）,1720695591,2024-07-11 18:59:51,3299,35,3,1269,101703686,香香兔纸,4
朱蒂老师,3009465,BV16r421F78P,【名侦探柯南reaction】〖300〗英文老师对阵关西名侦探！（下集）,1719238962,2024-06-24 22:22:42,3733,45,16,1267,101703686,香香兔纸,4
朱蒂老师,3009465,BV1Hb421p7ZF,【名侦探柯南reaction】〖299〗英文老师对阵关西名侦探！（上集）,1719235713,2024-06-24 21:28:33,4164,52,20,1270,101703686,香香兔纸,4
朱蒂老师,3009465,BV1qS411A7H7,【名侦探柯南reaction】〖294〗情急之下的应变之道！（下集）,1719161865,2024-06-24 00:57:45,3135,21,14,1286,101703686,香香兔纸,4
朱蒂老师,3009465,BV1aw4m1e7LX,【名侦探柯南reaction】〖293〗情急之下的应变之道！（上集）,1719148269,2024-06-23 21:11:09,3160,34,7,1380,101703686,香香兔纸,4
朱蒂老师,3009465,BV1VM4m1S7AA,【名侦探柯南reaction】〖250〗神秘乘客！（下集）,1718119036,2024-06-11 23:17:16,6045,87,37,1378,101703686,香香兔纸,4
朱蒂老师,3009465,BV1AT421e7UG,【名侦探柯南reaction】〖249〗神秘乘客！（上集）,1718112187,2024-06-11 21:23:07,5795,193,53,1268,101703686,香香兔纸,4
朱蒂老师,3009465,BV1Wz421b7UA,【名侦探柯南reaction】〖246〗战斗游戏的陷阱！（下集）,1718030780,2024-06-10 22:46:20,3453,30,6,1274,101703686,香香兔纸,4
朱蒂老师,3009465,BV15s421u7xz,【名侦探柯南reaction】〖245〗战斗游戏的陷阱！（上集）,1718020097,2024-06-10 19:48:17,3571,31,13,1274,101703686,香香兔纸,4
朱蒂老师,3009465,BV15b421e7ip,对付熬夜的孩子就要...,1717161590,2024-05-31 21:19:50,8902,11,3,16,456998589,梦曦动漫,4
朱蒂老师,3009465,BV1fp4y1f7B8,和柯南一起做不上当的聪明宝贝|陌生人给我糖不要不要,1702830221,2023-12-18 00:23:41,233,1,0,12,274413874,翠花兔兔的人类宠物,4
朱蒂老师,3009465,BV1F94y1j7nH,“再见喽，茱蒂老师”,1698236649,2023-10-25 20:24:09,12768,15,1,15,23834524,Albtraum霁日,4
朱蒂老师,3009465,BV1VP411x7aQ,柯哀第三人称视角 1：朱蒂老师眼中的柯哀,1691307901,2023-08-06 15:45:01,37283,65,244,1139,501791398,星妄088,4
朱蒂老师,3009465,BV1do4y157Cn,【名柯讨论】赤井秀一算不算渣男？被削弱最严重的朱蒂老师,1682320123,2023-04-24 15:08:43,1821,3,2,312,77770849,Lucifer神无月,4
朱蒂老师,3009465,BV1vh4y1H7ty,你要知道赤井对她来说 可不单单 是FBI里的同事而已,1681780861,2023-04-18 09:21:01,2477,2,0,34,34875832,庫洛里多,4
朱蒂老师,3009465,BV1Ah4y1W7bn,朱蒂33,1681449078,2023-04-14 13:11:18,16,0,0,13,516645171,-桔生淮南,4
朱蒂老师,3009465,BV1RL411y7pt,曾经的秀一 也给了朱蒂只要有他在就绝不会让她受到危险的承诺,1678692811,2023-03-13 15:33:31,475,0,0,53,34875832,庫洛里多,4
朱蒂老师,3009465,BV1W24y1p71V,【名侦探柯南】最新ed！朱蒂老师 贝姐 灰原同框！,1676726186,2023-02-18 21:16:26,3613,13,65,82,1327142180,HaileyShiho,4
朱蒂老师,3009465,BV1Pe4y1b7rJ,"名侦探柯南,异次元狙击手赤井秀一展现其个人魅力,极高的智商和狙击手法,不仅帮柯南摆脱麻烦,琴酒一行也差点丧命!",1663953215,2022-09-24 01:13:35,308,0,0,94,259455059,Hope_不二子,4
朱蒂老师,3009465,BV1WN4y1L74E,早期的朱蒂性感又能打，而现在..,1659081715,2022-07-29 16:01:55,25785,67,43,176,527272721,剪辑君吖,4
朱蒂老师,3009465,BV1Rb4y1J7SL,【秀朱】（秀一X朱蒂  ）撒野,1642674505,2022-01-20 18:28:25,1646,2,3,110,12740816,木多的,5
朱蒂老师,3009465,BV1qX4y1M71x,名侦探柯南_贝姐vs朱蒂老师_朱蒂巅峰,1607335926,2020-12-07 18:12:06,3643,3,0,596,244329195,飞翔的小兔子1101,5
朱蒂老师,3009465,BV1mK4y157hF,名侦探柯南_贝姐高黑时刻,1607251178,2020-12-06 18:39:38,1988,1,0,102,244329195,飞翔的小兔子1101,5
朱蒂老师,3009465,BV1Aa4y1W78K,名侦探柯南_朱蒂老师_我又变色了,1606645166,2020-11-29 18:19:26,32599,16,10,103,244329195,飞翔的小兔子1101,5
朱蒂老师,3009465,BV1ys411a7YB,服部平次飙英语,1482733714,2016-12-26 14:28:34,11426,17,37,71,6710942,用户1155098712,5
