标签名,标签ID,BV号,标题,发布时间戳,发布时间_ISO8601_北京时间,播放量,评论数_reply,弹幕数,时长秒,UP主MID,UP主昵称,页码_抓取时
松田阵平,55247,BV1ArQZBwEb3,其实我一直都不喜欢警校五人组,1775275800,2026-04-04 12:10:00,10308,109,65,893,3493130684860772,辛迪DevilCindy,2
松田阵平,55247,BV1gX9EBMEiy,【名侦探柯南万圣节的新娘~点播reaction】为了警校组包了这顿饺子，剧情一言难尽,1775124000,2026-04-02 18:00:00,1588,2,2,6378,95698,糟糕的貓貓,2
松田阵平,55247,BV14L9jBRE7L,松田阵平,1775040202,2026-04-01 18:43:22,358,2,0,58,3546715357448876,赫梦中游,2
松田阵平,55247,BV1EPX8B2EN3,[中字]柯南M29公开纪念「动作场景篇」|主旋律片段试听！,1774579390,2026-03-27 10:43:10,4404,17,2,304,702964214,少卿大理寺,2
松田阵平,55247,BV1HsXHBcEPZ,[中字]柯南M29公开纪念「主要角色篇」|主旋律片段试听！,1774492416,2026-03-26 10:33:36,4922,21,0,299,702964214,少卿大理寺,2
松田阵平,55247,BV1gMQSBQEnG,白月光,1774443941,2026-03-25 21:05:41,175,3,0,19,3546840811178402,chu恒,2
松田阵平,55247,BV1tnAGzMEvE,“事已至此，请你们尽情活在我的世界里吧”,1774181089,2026-03-22 20:04:49,7600,88,2,234,873181,洛丹,3
松田阵平,55247,BV1PgwXz5EaZ,開箱｜⊹₊⋆毛利蘭‎˖ִ 𖤐𐙚｜26戰國𓏵中華廚房,1774089000,2026-03-21 18:30:00,1162,22,5,70,570407729,Dairenesy-rua,3
松田阵平,55247,BV1oWP9zgEj6,柯南剧场版M29即将上映！名侦探柯南:高速公路的堕天使  最终预告cut,1773068004,2026-03-09 22:53:24,1180,4,0,32,3461575971179332,柯学馆,3
松田阵平,55247,BV1CePCzXENc,【爆处组】松田警官收到了奇怪的手机/tell me,1772707475,2026-03-05 18:44:35,2208,14,1,19,554381190,回_ovo,3
松田阵平,55247,BV1XDAdziEMF,【4K/中字】柯南M29《高速公路的堕天使》IMAX&杜比影院&4D特殊版本预告,1772510256,2026-03-03 11:57:36,3138,14,0,43,45053576,QG柯南,3
松田阵平,55247,BV1pbAdzQEca,[中字]柯南M29特别制式预告,1772508545,2026-03-03 11:29:05,3178,10,1,43,702964214,少卿大理寺,3
松田阵平,55247,BV1HhAdznE5W,【柯南M29多版本上映预告】IMAX・MX4D・4DX・DolbyCinema,1772508290,2026-03-03 11:24:50,491,2,0,41,11972834,Mai_way,3
松田阵平,55247,BV15gPuzGEvK,【松田阵平】收物合集 第一弹,1772452800,2026-03-02 20:00:00,37,1,0,178,47958495,沉迷磕CP的瑛子,3
松田阵平,55247,BV1wuA1zRE8A,名侦探柯南×CarSensor 二手车平台联动CM,1772157251,2026-02-27 09:54:11,2074,4,1,61,702964214,少卿大理寺,3
松田阵平,55247,BV1zCfYBuEar,M29又要原创小兰被绑架了，接下来的剧情发展基本上都能猜到了…,1772072386,2026-02-26 10:19:46,2202,17,0,39,668727289,阴晴不定的官配党,3
松田阵平,55247,BV1dLfUBkEJP,【名侦探柯南手书】爆处组的晚聚焦点,1771955396,2026-02-25 01:49:56,1029,8,0,184,835876,苍白妄想,3
松田阵平,55247,BV1QCfBBCE6s,剧场版《名侦探柯南：高速公路上的堕天使》官方预告片,1771858431,2026-02-23 22:53:51,40,0,0,91,3461575971179332,柯学馆,3
松田阵平,55247,BV1CsfMB5Ekv,[中字]新闻—柯南M29主题曲歌手MISIA公布！！,1771820102,2026-02-23 12:15:02,9904,40,1,99,702964214,少卿大理寺,3
松田阵平,55247,BV1U5fKBVE6F,【4K/中字】柯南M29《高速公路的堕天使》90s终极预告公开！MISIA演唱「与你的最后一舞」！,1771813261,2026-02-23 10:21:01,22134,105,6,94,45053576,QG柯南,3
松田阵平,55247,BV1DKfKBUEnM,名侦探柯南m29高速公路的堕天使90秒预告,1771811461,2026-02-23 09:51:01,616,1,0,91,372246526,凌空之宇,3
松田阵平,55247,BV1b9fKB2EFc,【中字】柯南M29「高速公路的堕天使」90s预告公开！！,1771803498,2026-02-23 07:38:18,4680,50,3,91,702964214,少卿大理寺,3
松田阵平,55247,BV1bXfKB7EFR,【柯南M29】高速公路的堕天使 主题曲MISIA 90s+30s预告,1771802836,2026-02-23 07:27:16,1180,0,2,121,11972834,Mai_way,3
松田阵平,55247,BV1BhfPB9EnA,【台配国语】踩油门向前冲,1771797768,2026-02-23 06:02:48,552,1,0,233,1488617659,瑪利歐路易吉,3
松田阵平,55247,BV16tfPBdEnG,柯南剧场版M29《高速公路的堕天使》90秒预告,1771795150,2026-02-23 05:19:10,31924,496,41,91,417121751,柯研所DCI,3
松田阵平,55247,BV1NZfPBTEh1,柯南M29剧场版《高速公路的堕天使》90秒预告 主题曲《和你的最后一舞》MISIA,1771794326,2026-02-23 05:05:26,1481,5,0,182,16219537,絶対女王,3
松田阵平,55247,BV1XhZUBBExk,我终于找到了警五代餐,1771359128,2026-02-18 04:12:08,1864,10,1,175,3546793298103122,你们怎么什么都会哇,4
松田阵平,55247,BV1RNZPBmEXn,【谷子开箱】最最最幸福的开箱，大家除夕快乐！,1771204246,2026-02-16 09:10:46,56,0,0,246,2466240,淳淳_hgmt,4
松田阵平,55247,BV1Ntc3zoEbk,【松田阵平】拼团清货 第一弹,1770931800,2026-02-13 05:30:00,45,0,0,629,47958495,沉迷磕CP的瑛子,4
松田阵平,55247,BV1y6cbzrEc5,不愿在zbj浪费情绪了｜名柯年前开箱大合集｜四分钟长视频来啦˙Ⱉ˙早就想吐槽zbj了！,1770892200,2026-02-12 18:30:00,1400,10,3,241,570407729,Dairenesy-rua,4
松田阵平,55247,BV1eCFdzhE54,《松田阵平》,1770776367,2026-02-11 10:19:27,132,2,0,10,3690990869153975,上衫由衣,4
松田阵平,55247,BV1KgcAzTEZ8,【松田阵平＆IDOLISH7&恋与制作人&无限滑板】模玩熊清货,1770670800,2026-02-10 05:00:00,54,1,0,1282,47958495,沉迷磕CP的瑛子,4
松田阵平,55247,BV1GYcczCE8C,柯南主线讲解第27期——通过M29“高速公路的堕天使”的最新海报，得出以下情报……,1770568784,2026-02-09 00:39:44,212,0,0,443,351904314,Vladmir熙,4
松田阵平,55247,BV1jWcczSE6F,hagi，该回家了……,1770568776,2026-02-09 00:39:36,130,1,0,20,3546733078382815,yz迟,4
松田阵平,55247,BV1XacczVEmw,永远的爆处双星(*꒦ິ⌓꒦ີ),1770568629,2026-02-09 00:37:09,81,1,0,19,3546733078382815,yz迟,4
松田阵平,55247,BV1VbcczjEDx,她是我为你们创造的本不存在的未来,1770568198,2026-02-09 00:29:58,16,0,0,12,3546733078382815,yz迟,4
松田阵平,55247,BV1bjFxzqEMP,《名侦探柯南：高速公路的堕天使》正式海报公开！「风之计划」宣传联动活动全面启动！柯南M29真实取景地特别PV！,1770481644,2026-02-08 00:27:24,979,12,1,67,3461575971179332,柯学馆,4
松田阵平,55247,BV19pFszCEtH,[中字]2月日历「透教和叶做点心」语音&柯南M29宣发CM1＋柯南提示「研二&松田」,1770461907,2026-02-07 18:58:27,6059,15,2,29,702964214,少卿大理寺,4
