视频标题,BVID,用户名,评论内容
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,海里里iii,毛利小五郎的高光时刻！被质疑时的隐忍与不甘，眼神里藏着不服输的韧劲，打破“废柴侦探”刻板印象，把角色的反差与尊严演得淋漓尽致，悟空追了，是全剧最圈粉的名场面之一。
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,善良的小矿工,感谢小伙伴的精彩推荐~送上正片传送门：【https://www.bilibili.com/bangumi/play/ss33378?comment_type=auto&comment_mid=586350333&comment_avid=116345026910871】快来吃下这份安利吧~
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,子曰再思可矣,没有直接证据凭这个定不了罪，何况她本身就是法学生
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,狗小摸,up还在更新真是很棒！
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,阿婆主叫啊头头,毕竟是新一的岳父
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,菊池浴也,他们要杀我的命！要是我我也一定要他们以命偿命反击的！
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,抽你裤衩子里橡皮筋,和城市猎人的獠很像，认真的时候，很有男子气概，个人魅力
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,买番茄吗,更[呲牙]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,青龙幻影大号被封,比起这个我还是对另外一集印象深刻。差点就完美犯罪了。就是那个给自己妹夫下套，反复下套想害死妹夫，但是又不主动动手而是寄期望于意外。如果不是最后发现她在水晶灯上做手脚，还真没办法给她定罪。
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,青龙幻影大号被封,这个毛利的声音和印象里差距真的好大
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,哇哦哦唉,牟利小舞娘[doge]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,黒コ,这算啥证据啊[吃瓜]不过也是柯学正常操作了
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,菲小甜,给毛利大叔打call～
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,夏匿瞳,up加油继续更呀！[打call]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,空栀zzz,最后那段简直是和我的心声 小惠都忍了那么多次了自己妹妹还明知故犯 甚至和自己结婚的丈夫还惦记保险金和父母遗产去给自己妹妹开服装店 然后和别人互换杀///妻 她还能怎样呢 感觉亲妹妹怎么都没办法完全割裂关系[笑哭]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,迪疯终结者,不理解，为什么非要把人弄进去(´･_･`)我是不支持的
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,动量_momentum,这种案件咬死了不承认，说嫌疑人当时有摘下过墨镜一下长得和一个同学很像所以记住了也没办法定罪吧
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,想嘬猪咪咪,刚定了一个小五郎的手办[doge]毛利大叔真帅[嘟嘟]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,__雪--,这个时候配角多美呀
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,雪饮斩玄,你还想得起来自己有个号啊
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,落雪沉尘,这期依旧帅
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,遥夜迟迟烛有花,超人（因为被麻醉针扎那么多次还是好好的[doge]）
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,H的猪猪小骑士,以前这画质挺好的，为啥画成现在这犀牛样啊
