scene_related,视频数,平均播放,平均评论,平均弹幕,评论中位数,弹幕中位数
非场景视频,726,4047.935261707989,15.221763085399449,8.53168044077135,5.0,0.0
场景相关视频,48,9184.333333333334,22.041666666666668,47.916666666666664,2.5,0.0
