site,novel_id,title,createDate,bookmarkCount,userName,url,tags_joined,matched_characters_joined,primary_character_proxy
Pixiv,11732325,彼氏と別れたので、ベランダで自棄酒してたら隣人のイケメン二人が話を聞いてくれた。,2019-09-28T02:10:37+09:00,660,真弥＠マイピク→プロフ必読,https://www.pixiv.net/novel/show.php?id=11732325,コナン夢 | 女主人公 | 松田陣平 | 萩原研二 | コナン夢小説500users入り,松田阵平 | 萩原研二,松田阵平
Pixiv,11731483,お巡り3人組とご飯を食べました,2019-09-27T23:16:27+09:00,483,Yuuki,https://www.pixiv.net/novel/show.php?id=11731483,コナン夢 | トリップ | 救済 | オリ主 | 警察学校組 | 萩原研二 | 松田陣平 | 伊達航 | 飯テロ | 続きを全裸待機!,萩原研二 | 松田阵平 | 伊达航,萩原研二
Pixiv,11731215,とある受っ子たちのグループ通話2.5,2019-09-27T22:27:14+09:00,46,りょう,https://www.pixiv.net/novel/show.php?id=11731215,,,
Pixiv,11730927,見失うゴリラ,2019-09-27T21:35:21+09:00,1731,とんぼ太郎,https://www.pixiv.net/novel/show.php?id=11730927,コナン夢 | 工藤新一 | 男主人公 | 松田陣平 | 萩原研二 | 名探偵コナン,江户川柯南 | 松田阵平 | 萩原研二,江户川柯南
Pixiv,11729359,夏の思い出,2019-09-27T12:47:50+09:00,51,まほろば,https://www.pixiv.net/novel/show.php?id=11729359,コナン夢 | 松田陣平,松田阵平,松田阵平
Pixiv,11729297,松田さんはパパですか？8,2019-09-27T12:14:37+09:00,1281,みゆう②,https://www.pixiv.net/novel/show.php?id=11729297,コナン夢 | 松田陣平 | 降谷零 | 幼女 | コナン夢小説800users入り,松田阵平 | 降谷零,松田阵平
Pixiv,11728212,帰国,2019-09-27T00:55:15+09:00,60,りゅしおん,https://www.pixiv.net/novel/show.php?id=11728212,二次創作 | オリ主 | 原作改変 | 松田陣平 | 萩原研二 | コナン夢,松田阵平 | 萩原研二,松田阵平
Pixiv,11727877,想いを形作る花々よ,2019-09-27T00:00:28+09:00,374,七星,https://www.pixiv.net/novel/show.php?id=11727877,コナン夢 | 松田陣平 | 花吐き病 | コナン夢小説300users入り,松田阵平,松田阵平
Pixiv,11727756,もう失敗はしない,2019-09-26T23:47:55+09:00,306,sora,https://www.pixiv.net/novel/show.php?id=11727756,オリ主 | コナン夢 | 松田陣平,松田阵平,松田阵平
Pixiv,11727117,あっさりとした青春を日々送っています,2019-09-26T21:55:56+09:00,542,ちみっこ,https://www.pixiv.net/novel/show.php?id=11727117,コナン夢 | オリ主 | 松田陣平,松田阵平,松田阵平
Pixiv,11724986,カウントダウン ２【DC】,2019-09-26T05:43:29+09:00,175,タカセ,https://www.pixiv.net/novel/show.php?id=11724986,コナン夢 | オリ主 | 松田陣平 | 江戸川コナン | 降谷零,松田阵平 | 江户川柯南 | 降谷零,松田阵平
Pixiv,11724506,WHITE NIGHT,2019-09-26T01:00:01+09:00,51,卯月 紫@創作再開,https://www.pixiv.net/novel/show.php?id=11724506,DC夢 | decn夢小説 | コナン夢小説 | コナン夢 | ネームレス | 爆処 | 爆処サンド | 萩原研二 | 松田陣平 | 名探偵コナン,萩原研二 | 松田阵平,萩原研二
